"Timestamp","Género","Edad","Altura en metros","Hornalla favorita","¿Cómo caracterizarías la intensidad de tus hornallas? [Atrás izquierda]","¿Cómo caracterizarías la intensidad de tus hornallas? [Adelante izquierda]","¿Cómo caracterizarías la intensidad de tus hornallas? [Adelante derecha]","¿Cómo caracterizarías la intensidad de tus hornallas? [Atrás derecha]","La cocina es","¿Con qué encendés las hornallas?","¿Con qué frecuencia usás una hornalla?","¿Cuál es tu mano más hábil?","¿Tenés niñes menores en tu casa?","¿Tenés mascotas en tu casa?","¿Hacia qué lado del anafe tenés mesada?"
"2020/08/11 8:13:29 PM GMT-3","Hombre","29","1.68","Adelante derecha","Alta","Alta","Alta","Alta","A gas","Fósforos","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 8:13:36 PM GMT-3","Hombre","33","1.73","Adelante derecha","Media","Baja","Media","Alta","A gas","Es automático","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 8:13:37 PM GMT-3","Mujer","39","1.68","Atrás izquierda","Alta","Media","Media","Baja","A gas","Botón de la cocina","Todos los días","Derecha","Sí","No","Izquierda"
"2020/08/11 8:13:52 PM GMT-3","Hombre","31","1.84","Adelante derecha","Alta","Media","Media","Alta","A gas","Es automático","Todos los días","Izquierda","Sí","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 8:14:12 PM GMT-3","Mujer","25","1.67","Adelante izquierda","Funciona mal","Media","Alta","Media","A gas","Encendedor;Fósforos","Todos los días","Derecha","No","No","Izquierda"
"2020/08/11 8:14:13 PM GMT-3","Mujer","37","1.60","Adelante izquierda","Media","Media","Media","Media","A gas","Encendedor;Fósforos","Todos los días","Derecha","No","No","Izquierda"
"2020/08/11 8:14:17 PM GMT-3","Hombre","30","1.80","Atrás izquierda","Media","Media","Media","Media","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 8:14:23 PM GMT-3","Mujer","22","1.54","Adelante izquierda","Alta","Alta","Alta","Alta","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 8:14:31 PM GMT-3","Mujer","19","1.53","Atrás izquierda","Media","Funciona mal","Funciona mal","Alta","A gas","Magiclik;Fósforos;Botón de la cocina","Todos los días","Derecha","No","No","Izquierda"
"2020/08/11 8:14:42 PM GMT-3","Mujer","25","1.60","Adelante izquierda","Baja","Alta","Alta","Baja","hornalla a gas, horno eléctrico.","Es automático","Todos los días","Derecha","No","No","Izquierda"
"2020/08/11 8:14:43 PM GMT-3","Mujer","42","1.60","Atrás derecha","Baja","Media","Alta","Alta","A gas","Magiclik","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 8:14:48 PM GMT-3","Mujer","27","147","Adelante izquierda","Media","Alta","Media","Media","A gas","Fósforos","Todos los días","Derecha","No","No","Derecha"
"2020/08/11 8:14:56 PM GMT-3","Mujer","34","1.67","Adelante derecha","Media","Baja","Alta","Media","A gas","Fósforos","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 8:15:00 PM GMT-3","Mujer","21","1.65","Adelante izquierda","Alta","Alta","Baja","Media","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 8:15:06 PM GMT-3","Hombre","39","1.81","Adelante izquierda","Media","Baja","Alta","Baja","A gas","Botón de la cocina","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 8:15:11 PM GMT-3","Mujer","24","1.60","Adelante izquierda","Alta","Media","Baja","Media","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 8:15:13 PM GMT-3","Hombre","39","1.75","Atrás izquierda","Alta","Media","Baja","Media","A gas","Encendedor","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 8:15:41 PM GMT-3","Hombre","27","1.80","Adelante izquierda","Baja","Alta","Media","Alta","Eléctrica","Botón de la cocina","Todos los días","Izquierda","No","No","Derecha"
"2020/08/11 8:15:43 PM GMT-3","Hombre","31","1.88","Adelante derecha","Baja","Baja","Alta","Funciona mal","A gas","Fósforos","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 8:15:44 PM GMT-3","Hombre","21","1.83","Atrás izquierda","Alta","Media","Baja","Media","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 8:15:58 PM GMT-3","Hombre","27","1.65","Adelante derecha","Funciona mal","Alta","Alta","Alta","A gas","Magiclik","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 8:16:06 PM GMT-3","Mujer","28","1.65","Adelante derecha","Media","Baja","Media","Baja","Combinada","Encendedor","Todos los días","Izquierda","No","No","Derecha"
"2020/08/11 8:16:10 PM GMT-3","Mujer","29","1.67","Adelante derecha","Media","Media","Baja","Alta","A gas","Fósforos","Todos los días","Derecha","No","No","Derecha"
"2020/08/11 8:16:12 PM GMT-3","Mujer","24","1.63","Adelante izquierda","Media","Funciona mal","Alta","Alta","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
